canonical_variable,availability_status,variable_role,draft_variable,tax_year,row_count,populated_count,fill_rate,notes
analysis_gross_receipts_under_25000,available,direct,Gross receipts under $25K flag,all,2938,2938,1.0,Small-filer support field.
analysis_gross_receipts_under_25000,available,direct,Gross receipts under $25K flag,2022,208,208,1.0,Small-filer support field.
analysis_gross_receipts_under_25000,available,direct,Gross receipts under $25K flag,2023,511,511,1.0,Small-filer support field.
analysis_gross_receipts_under_25000,available,direct,Gross receipts under $25K flag,2024,2219,2219,1.0,Small-filer support field.
analysis_terminated,available,direct,Terminated flag,all,2938,2938,1.0,Entity status support field.
analysis_terminated,available,direct,Terminated flag,2022,208,208,1.0,Entity status support field.
analysis_terminated,available,direct,Terminated flag,2023,511,511,1.0,Entity status support field.
analysis_terminated,available,direct,Terminated flag,2024,2219,2219,1.0,Entity status support field.
analysis_is_small_filer_support,available,direct,Small-filer support flag,all,2938,2938,1.0,Documents that postcard is being used only as a small-filer support layer.
analysis_is_small_filer_support,available,direct,Small-filer support flag,2022,208,208,1.0,Documents that postcard is being used only as a small-filer support layer.
analysis_is_small_filer_support,available,direct,Small-filer support flag,2023,511,511,1.0,Documents that postcard is being used only as a small-filer support layer.
analysis_is_small_filer_support,available,direct,Small-filer support flag,2024,2219,2219,1.0,Documents that postcard is being used only as a small-filer support layer.
analysis_total_revenue_amount,unavailable,unavailable,Total revenue,all,2938,0,0.0,Postcard does not carry this financial-performance or revenue-source field.
analysis_program_service_revenue_amount,unavailable,unavailable,Program service revenue,all,2938,0,0.0,Postcard does not carry this financial-performance or revenue-source field.
analysis_calculated_total_contributions_amount,unavailable,unavailable,Total contributions,all,2938,0,0.0,Postcard does not carry this financial-performance or revenue-source field.
analysis_calculated_grants_total_amount,unavailable,unavailable,Grants (total amount),all,2938,0,0.0,Postcard does not carry this financial-performance or revenue-source field.
analysis_total_expense_amount,unavailable,unavailable,Total expense,all,2938,0,0.0,Postcard does not carry this financial-performance or revenue-source field.
analysis_net_asset_amount,unavailable,unavailable,Net asset,all,2938,0,0.0,Postcard does not carry this financial-performance or revenue-source field.
analysis_calculated_surplus_amount,unavailable,unavailable,Surplus,all,2938,0,0.0,Postcard does not carry this financial-performance or revenue-source field.
analysis_calculated_net_margin_ratio,unavailable,unavailable,Net margin,all,2938,0,0.0,Postcard does not carry this financial-performance or revenue-source field.
analysis_calculated_months_of_reserves,unavailable,unavailable,Months of reserves,all,2938,0,0.0,Postcard does not carry this financial-performance or revenue-source field.
